respond,gift,resplast,weekslast,propresp,mailsyear,giftlast,avggift
0,0,0,65.428574,.40000001,2.5,10,10
0,0,1,13.142858,.444444,2.25,10,10
0,0,0,65.428574,.33333299,2.25,10,13.333333
0,0,0,51.285713,.33333299,2.25,10,10
0,0,0,103.85714,.2,2.5,10,10
1,15,0,26.142857,.555556,2.25,10,10
1,10,1,13.142858,.75,2,10,10.833333
0,0,1,13.142858,.375,2,25,18.333334
1,25,0,26.142857,.375,2,20,23.333334
1,10,1,39.285713,.88888901,2.25,10,10
1,20,0,65.428574,.555556,2.25,20,14
0,0,0,26.142857,.5,2,25,21.25
0,0,0,39.285713,.5,2,20,21.25
1,10,1,13.142858,.875,2,25,9.25
0,0,0,168.42857,.222222,2.25,40,40
1,10,1,13.142858,1,2,10,7.5
1,25,1,51.285713,.33333299,2.25,25,25
0,0,1,26.142857,.88888901,2.25,10,10
1,10,1,13.142858,.75,2,10,10
1,20,1,13.142858,.555556,2.25,20,12
1,10,1,13.142858,.875,2,10,10
1,10,0,51.285713,.66666698,2.25,10,11.666667
0,0,1,26.142857,1,2.25,10,11.111111
0,0,0,51.285713,.375,2,25,23.333334
0,0,0,51.285713,.5,2,25,25
1,25,0,51.285713,.33333299,2.25,25,25
1,25,0,26.142857,.375,2,25,25
0,0,0,51.285713,.375,2,25,25
0,0,0,51.285713,.375,2,50,33.333332
0,0,0,39.285713,.5,2,25,25
1,25,1,13.142858,.33333299,2.25,25,25
0,0,1,13.142858,.5,2,25,25
1,25,0,51.285713,.375,2,25,25
0,0,0,26.142857,.25,2,50,50
0,0,0,26.142857,.5,2,25,25
1,10,1,26.142857,1,2.25,10,10
1,10,1,26.142857,1,2.25,10,10
0,0,0,65.428574,.25,2,50,50
0,0,0,51.285713,.375,2,25,25
1,25,0,51.285713,.25,2,25,25
1,10,1,26.142857,1,2,10,10
0,0,0,65.428574,.375,2,25,25
1,10,1,13.142858,.75,2,15,11.166667
1,5,1,13.142858,.77777803,2.25,5,5
0,0,0,26.142857,.5,2,20,17.5
1,10,0,26.142857,.555556,2.25,10,12
1,10,0,39.285713,.625,2,10,10
0,0,1,13.142858,.555556,2.25,15,14
1,10,1,13.142858,.75,2,10,10
0,0,1,13.142858,.75,2,10,10
0,0,1,13.142858,.75,2,40,11.666667
0,0,1,13.142858,.75,2,10,10
0,0,0,51.285713,.25,2,50,50
1,10,0,39.285713,.75,2,10,10
1,25,0,103.85714,.222222,2.25,25,25
0,0,0,26.142857,.42857099,2.25,20,23.333334
0,0,0,26.142857,.375,2,25,21.666666
0,0,1,13.142858,.66666698,2.25,15,10.833333
1,10,0,51.285713,.75,2,5,9.166667
0,0,1,13.142858,.625,2,15,11
1,25,0,51.285713,.222222,2.25,25,25
1,15,1,51.285713,.444444,2.25,15,15
0,0,0,90,.33333299,2.25,25,25
1,25,0,168.42857,.222222,2.25,25,25
0,0,0,65.428574,.222222,2.25,25,37.5
1,20,1,26.142857,.555556,2.25,20,18
0,0,0,143,.1,2.5,75,75
0,0,0,77.14286,.33333299,2.25,25,25
0,0,0,103.85714,.222222,2.25,25,37.5
1,25,0,103.85714,.222222,2.25,25,25
0,0,0,51.285713,.33333299,2.25,25,25
1,25,0,90,.222222,2.25,25,25
0,0,0,51.285713,.33333299,2.25,25,25
1,25,0,26.142857,.5,2,10,10
0,0,1,13.142858,.5,2,10,15
1,15,0,26.142857,.375,2,15,15
1,25,1,13.142858,.222222,2.25,25,25
0,0,1,13.142858,.66666698,2.25,15,12.5
0,0,0,51.285713,.33333299,2.25,25,25
0,0,0,65.428574,.375,2,25,25
0,0,0,51.285713,.25,2,50,50
0,0,0,103.85714,.2,2.5,10,10
1,25,0,51.285713,.5,2,25,20
0,0,0,103.85714,.2,2.5,5,5
1,250,0,51.285713,.555556,2.25,250,170
0,0,0,65.428574,.2,2.5,5,7.5
0,0,0,120.14286,.1,2.5,15,15
0,0,0,51.285713,.69999999,2.5,2,2
0,0,0,51.285713,.2,2.5,5,5
0,0,0,103.85714,.2,2.5,5,5
0,0,0,51.285713,.5,2.5,2,2
1,25,1,26.142857,1,2.25,40,25.5
0,0,0,129.14285,.30000001,2.5,3,3
0,0,0,103.85714,.2,2.5,10,10
1,100,1,13.142858,1,2,100,87.5
1,100,1,51.285713,.444444,2.25,100,100
1,50,1,26.142857,1,2.25,50,38.833332
1,25,1,13.142858,.875,2,25,39.25
1,25,1,13.142858,1,2,25,35
0,0,0,103.85714,.40000001,2.5,5,5
0,0,0,26.142857,.40000001,2.5,5,4.75
0,0,1,13.142858,.555556,2.25,10,9
0,0,0,120.14286,.2,2.5,10,10
0,0,0,51.285713,.40000001,2.5,5,5
1,25,1,13.142858,1,2,25,25
0,0,0,120.14286,.2,2.5,10,10
0,0,0,120.14286,.2,2.5,10,10
0,0,0,103.85714,.40000001,2.5,5,5
0,0,0,65.428574,.2,2.5,10,10
0,0,0,143,.2,2.5,10,10
1,2,1,13.142858,.88888901,2.25,2,2
0,0,0,26.142857,.2,2.5,10,10
0,0,0,103.85714,.2,2.5,10,10
0,0,0,129.14285,.2,2.5,10,10
1,5,0,65.428574,.30000001,2.5,5,5
0,0,0,103.85714,.2,2.5,10,10
0,0,0,120.14286,.2,2.5,10,10
0,0,0,65.428574,.1,2.5,20,20
1,25,1,51.285713,.88888901,2.25,25,27.5
1,25,1,13.142858,1,2,25,25
0,0,0,51.285713,.25,2,100,57.5
0,0,0,26.142857,.625,2,25,25
0,0,1,13.142858,.5,2,25,31.25
1,25,1,26.142857,1,2.25,25,13.333333
1,15,1,39.285713,1,2.25,15,14
1,10,1,26.142857,1,2.25,15,14.5
1,25,1,26.142857,.875,2.5,15,15
1,25,1,39.285713,1,2.25,25,11.666667
1,25,0,26.142857,.5,2,25,19.25
0,0,0,120.14286,.2,2.5,10,10
0,0,1,13.142858,.444444,2.25,35,31.25
0,0,1,13.142858,.5,2,25,37.5
1,25,0,65.428574,.444444,2.25,25,25
1,25,1,13.142858,.375,2,25,25
0,0,0,39.285713,.375,2,10,40
1,25,0,51.285713,.555556,2.25,15,19
1,20,1,13.142858,.5,2,25,25
0,0,1,51.285713,.77777803,2.25,40,21.5
1,25,0,51.285713,.66666698,2.25,25,20
1,25,1,13.142858,1,2,25,25
1,25,1,51.285713,.77777803,2.25,25,25
0,0,0,51.285713,.77777803,2.25,25,27.833334
1,25,0,26.142857,.375,2,10,20
0,0,1,13.142858,.75,2,25,33.333332
0,0,1,13.142858,1,2,25,25
1,25,1,26.142857,.88888901,2.25,25,25
1,50,1,51.285713,.33333299,2.25,50,50
1,50,0,51.285713,.33333299,2.25,50,50
0,0,0,39.285713,.625,2,25,32
1,25,1,51.285713,.88888901,2.25,50,21.833334
1,50,0,158,.125,2,50,50
1,30,1,13.142858,.625,2,30,30
0,0,0,26.142857,.5,2,25,43.75
0,0,0,26.142857,.875,2,25,25
1,25,1,51.285713,.66666698,2.25,25,25
0,0,1,51.285713,.88888901,2.25,10,21.25
1,30,0,39.285713,.75,2,25,30
1,15,1,13.142858,.222222,2.25,15,15
0,0,0,129.14285,.1,2.5,20,20
0,0,0,120.14286,.40000001,2.5,10,11.25
0,0,0,77.14286,.30000001,2.5,25,25
0,0,0,103.85714,.30000001,2.5,25,25
0,0,1,13.142858,.66666698,2.25,12,11.666667
1,10,1,13.142858,.88888901,2.25,10,7.5
1,25,0,26.142857,.30000001,2.5,25,18.333334
0,0,1,13.142858,.77777803,2.25,10,10
1,10,0,51.285713,.444444,2.25,10,11.25
1,10,1,13.142858,.66666698,2.25,10,10
1,10,1,13.142858,.69999999,2.5,10,9.25
1,15,0,26.142857,.60000002,2.5,10,10
1,15,1,13.142858,.555556,2.25,15,14
1,10,1,13.142858,.66666698,2.25,10,6.6666665
0,0,0,195,.1,2.5,75,75
0,0,0,103.85714,.30000001,2.5,15,25
0,0,0,103.85714,.30000001,2.5,25,25
0,0,0,103.85714,.33333299,2.25,25,25
1,25,1,13.142858,.33333299,2.25,25,20
0,0,1,13.142858,.80000001,2.5,7,10.5
1,10,1,13.142858,.77777803,2.25,10,10
1,25,0,26.142857,.444444,2.25,10,15.5
0,0,0,26.142857,.555556,2.25,25,17
1,25,0,65.428574,.222222,2.25,25,25
1,10,1,13.142858,.88888901,2.25,10,10
1,25,0,51.285713,.444444,2.25,20,16.25
1,15,0,51.285713,.555556,2.25,15,15
1,10,1,13.142858,.77777803,2.25,10,10
1,5,1,13.142858,.444444,2.25,5,20
1,10,0,26.142857,.66666698,2.25,10,10.833333
0,0,1,13.142858,.555556,2.25,25,17
1,10,1,13.142858,.66666698,2.25,10,10.833333
0,0,1,13.142858,.5,2.5,25,17
1,25,1,13.142858,.66666698,2.25,10,10
1,15,1,13.142858,.444444,2.25,25,17.5
0,0,1,13.142858,.60000002,2.5,10,14.166667
0,0,0,143,.40000001,2.5,10,21.25
1,10,0,39.285713,.66666698,2.25,12,10.333333
1,10,0,51.285713,.5,2.5,25,13
1,25,0,51.285713,.444444,2.25,10,10
1,15,1,13.142858,.40000001,2.5,10,12.5
0,0,1,13.142858,.77777803,2.25,10,7.8333335
0,0,0,65.428574,.444444,2.25,10,17.5
1,10,1,13.142858,.444444,2.25,25,14.25
0,0,0,26.142857,.555556,2.25,10,13
1,10,0,39.285713,.66666698,2.25,10,9.166667
0,0,0,26.142857,.555556,2.25,10,11
0,0,1,13.142858,.444444,2.25,25,16.25
0,0,1,13.142858,.555556,2.25,25,18.4
0,0,0,65.428574,.5,2.5,10,13
0,0,0,51.285713,.69999999,2.5,10,10
0,0,1,13.142858,.60000002,2.5,10,10.833333
1,10,0,51.285713,.444444,2.25,10,13.75
0,0,0,39.285713,.66666698,2.25,10,10.833333
1,5,1,13.142858,1,2.25,5,5.5
0,0,1,39.285713,.80000001,2.5,10,8.166667
0,0,1,13.142858,.555556,2.25,10,11
1,5,1,13.142858,.66666698,2.25,10,10.833333
0,0,0,39.285713,.444444,2.25,15,17.5
1,10,1,13.142858,.60000002,2.5,10,10
0,0,0,103.85714,.5,2.5,10,14
1,10,1,13.142858,.5,2.5,10,17
1,10,1,13.142858,.66666698,2.25,10,10
1,20,0,26.142857,.555556,2.25,10,10
0,0,0,90,.33333299,2.25,25,23.333334
0,0,1,13.142858,.66666698,2.25,10,10
0,0,1,26.142857,.77777803,2.25,10,10
1,10,1,26.142857,.555556,2.25,10,10
0,0,1,13.142858,.33333299,2.25,25,23.333334
0,0,1,13.142858,.33333299,2.25,25,23.333334
0,0,1,26.142857,.66666698,2.25,10,10
1,10,1,13.142858,.66666698,2.25,10,10
1,20,0,77.14286,.33333299,2.25,10,13.333333
0,0,0,51.285713,.60000002,2.5,15,11.666667
1,10,1,26.142857,.66666698,2.25,10,10
0,0,1,13.142858,.30000001,2.5,25,23.333334
0,0,1,13.142858,.88888901,2.25,10,10
0,0,0,39.285713,.555556,2.25,10,13
1,15,1,13.142858,.444444,2.25,15,16.25
1,20,1,26.142857,1,2.25,10,21.666666
1,50,0,51.285713,.60000002,2.5,50,28.333334
1,25,1,39.285713,1,2.5,25,24
1,25,1,26.142857,1,2.25,25,22.75
0,0,1,13.142858,.5,2.5,50,50
1,60,0,51.285713,.40000001,2.5,50,45
1,50,1,26.142857,.66666698,2.25,25,29.166666
1,25,1,39.285713,.69999999,2.5,25,28.5
0,0,1,13.142858,.30000001,2.5,75,58.333332
1,50,0,51.285713,.444444,2.25,50,30
0,0,1,13.142858,.444444,2.25,50,43.75
1,25,0,26.142857,.77777803,2.25,25,25
0,0,0,26.142857,.77777803,2.25,25,28.5
0,0,0,26.142857,.66666698,2.25,50,33.333332
1,25,1,13.142858,.69999999,2.5,25,22.833334
1,35,1,26.142857,.555556,2.25,25,29
1,25,1,13.142858,1,2.25,25,25
1,30,1,13.142858,.69999999,2.5,30,29.25
1,15,0,103.85714,.444444,2.25,10,10
0,0,0,65.428574,.2,2.5,10,10
1,100,0,51.285713,.60000002,2.5,100,91.666664
1,50,0,51.285713,.222222,2.25,100,62.5
0,0,0,195,.090908997,2.75,25,25
1,2,1,13.142858,.80000001,2.5,5,2.75
1,5,1,13.142858,.89999998,2.5,2,1.8333334
0,0,0,65.428574,.2,2.5,12,11
0,0,0,51.285713,.18181799,2.75,10,10
1,25,1,13.142858,.89999998,2.5,25,26.111111
1,100,1,26.142857,1,2.25,200,166.66667
1,25,1,39.285713,1,2.5,25,25.5
0,0,0,26.142857,.66666698,2.25,100,83.333336
1,35,1,26.142857,1,2.25,40,38.333332
1,50,1,13.142858,1,2.5,100,37.5
1,30,1,26.142857,1,2.5,25,30
1,50,0,51.285713,.60000002,2.5,40,46.666668
1,25,0,51.285713,.60000002,2.5,25,23.333334
1,25,1,51.285713,.89999998,2.5,15,16.666666
1,10,1,13.142858,1,2.25,10,9.1111107
0,0,0,65.428574,.222222,2.25,50,50
1,25,1,13.142858,.33333299,2.25,25,25
1,25,0,26.142857,.33333299,2.25,25,25
0,0,0,103.85714,.33333299,2.25,25,33.333332
1,10,1,13.142858,.89999998,2.5,10,10
0,0,0,143,.2,2.5,50,50
1,25,0,26.142857,.33333299,2.25,25,25
1,25,1,13.142858,.60000002,2.5,10,12.5
0,0,0,51.285713,.444444,2.25,15,15
0,0,0,39.285713,.444444,2.25,25,25
0,0,0,65.428574,.33333299,2.25,25,30
0,0,0,158,.111111,2.25,100,100
1,15,1,13.142858,.60000002,2.5,15,14.166667
0,0,1,13.142858,.444444,2.25,25,25
0,0,1,13.142858,.33333299,2.25,25,25
0,0,1,13.142858,.222222,2.25,50,50
1,10,1,13.142858,1,2.25,10,10
1,10,1,13.142858,1,2.25,10,10
0,0,0,65.428574,.30000001,2.5,50,50
0,0,1,13.142858,.60000002,2.5,25,23.333334
1,25,0,39.285713,.444444,2.25,25,25
1,25,1,13.142858,.33333299,2.25,25,23.333334
1,50,0,65.428574,.2,2.5,50,50
1,25,1,39.285713,.5,2.5,25,25
0,0,1,13.142858,.60000002,2.5,25,24.166666
0,0,0,39.285713,.555556,2.25,20,24
1,25,1,26.142857,.88888901,2.25,15,14.375006
1,10,1,13.142858,.66666698,2.25,15,18.333334
1,20,0,26.142857,.66666698,2.25,25,19.166666
1,15,1,39.285713,.89999998,2.5,15,11.666667
1,25,0,26.142857,.555556,2.25,25,20
0,0,0,26.142857,.40000001,2.5,25,31.25
0,0,1,39.285713,.5,2.5,25,25
0,0,0,65.428574,.5,2.5,25,25
1,20,1,13.142858,.66666698,2.25,10,12.5
1,25,1,13.142858,.5,2.5,25,31.25
1,25,0,26.142857,.222222,2.25,15,20
0,0,0,26.142857,.555556,2.25,10,9
0,0,0,51.285713,.5,2.5,10,10
1,10,0,26.142857,.444444,2.25,10,10
1,10,0,51.285713,.444444,2.25,10,10
1,10,1,13.142858,.444444,2.25,10,10
1,10,1,13.142858,.33333299,2.25,10,10
0,0,0,143,.1,2.5,50,50
0,0,0,26.142857,.2,2.5,25,25
1,10,1,13.142858,.33333299,2.25,15,13.333333
1,10,1,13.142858,.40000001,2.5,10,10
0,0,0,26.142857,.89999998,2.5,10,5.5
0,0,0,26.142857,.30000001,2.5,10,16.666666
0,0,1,13.142858,.555556,2.25,10,10
0,0,0,103.85714,.5,2.5,10,10
0,0,0,65.428574,.5,2.5,10,10
0,0,1,13.142858,.555556,2.25,10,10
1,15,0,65.428574,.30000001,2.5,10,11.666667
1,5,0,39.285713,.77777803,2.25,5,6.5
1,10,0,51.285713,.40000001,2.5,10,10
0,0,0,26.142857,.30000001,2.5,10,16.666666
0,0,0,26.142857,.555556,2.25,10,10
0,0,0,103.85714,.30000001,2.5,15,16.666666
0,0,1,13.142858,.555556,2.25,10,10
0,0,1,13.142858,.444444,2.25,10,10
0,0,0,65.428574,.5,2.5,10,10
1,10,1,13.142858,.444444,2.25,10,10
0,0,0,26.142857,.5,2.5,10,10
0,0,0,65.428574,.222222,2.25,25,25
0,0,0,77.14286,.5,2.5,10,10
0,0,0,26.142857,.555556,2.25,10,10
0,0,0,51.285713,.60000002,2.5,5,8.333333
0,0,0,103.85714,.40000001,2.5,15,12.5
0,0,0,129.14285,.2,2.5,25,25
0,0,1,13.142858,.5,2.5,10,10
1,10,0,51.285713,.40000001,2.5,10,10
0,0,0,26.142857,.555556,2.25,10,10
0,0,0,103.85714,.5,2.5,10,10
1,10,0,51.285713,.40000001,2.5,10,10
1,10,0,51.285713,.555556,2.25,10,11
0,0,0,65.428574,.444444,2.25,10,9.25
0,0,0,51.285713,.444444,2.25,10,11.25
0,0,1,13.142858,.444444,2.25,10,12.5
0,0,0,26.142857,.444444,2.25,20,12.5
1,10,0,51.285713,.40000001,2.5,10,10
1,10,1,13.142858,.444444,2.25,10,10
0,0,0,77.14286,.5,2.5,10,10
0,0,0,103.85714,.222222,2.25,25,25
0,0,0,143,.2,2.5,25,25
1,5,1,13.142858,.88888901,2.25,5,5
1,10,1,13.142858,.444444,2.25,10,10
0,0,0,103.85714,.222222,2.25,25,22.5
0,0,0,103.85714,.2,2.5,20,22.5
0,0,1,13.142858,.30000001,2.5,25,15
0,0,0,143,.30000001,2.5,15,15
0,0,0,51.285713,.30000001,2.5,10,15
0,0,0,120.14286,.2,2.5,25,25
0,0,0,103.85714,.2,2.5,25,25
1,10,1,13.142858,.40000001,2.5,10,10
0,0,1,13.142858,.60000002,2.5,5,8.333333
0,0,1,13.142858,.33333299,2.25,15,16.666666
1,10,1,13.142858,.40000001,2.5,10,10
0,0,0,129.14285,.1,2.5,50,50
1,10,0,51.285713,.40000001,2.5,10,10
1,10,0,26.142857,.444444,2.25,10,10
0,0,0,143,.222222,2.25,25,25
0,0,0,129.14285,.2,2.5,25,25
1,5,1,13.142858,.66666698,2.25,5,6.6666665
1,10,0,51.285713,.444444,2.25,10,10
1,10,0,65.428574,.444444,2.25,10,10
0,0,1,13.142858,.444444,2.25,10,10
0,0,0,90,.2,2.5,25,25
0,0,1,13.142858,.555556,2.25,10,10
0,0,0,77.14286,.5,2.5,10,10
0,0,1,13.142858,.444444,2.25,10,10
0,0,1,13.142858,.5,2.5,10,10
0,0,0,65.428574,.5,2.5,10,10
1,10,1,13.142858,.5,2.5,10,10
1,10,1,13.142858,.40000001,2.5,10,10
1,15,0,51.285713,.30000001,2.5,15,15
1,10,0,26.142857,.555556,2.25,10,10
1,10,0,77.14286,.5,2.5,10,10
1,10,0,51.285713,.444444,2.25,10,10
0,0,0,143,.30000001,2.5,10,20
1,15,0,65.428574,.30000001,2.5,15,15
0,0,0,103.85714,.30000001,2.5,20,20
1,10,1,13.142858,.444444,2.25,10,10
1,10,1,13.142858,.555556,2.25,10,9.3999996
1,20,0,65.428574,.444444,2.75,10,10
0,0,1,13.142858,.33333299,2.25,25,20
0,0,0,26.142857,.555556,2.25,10,10
0,0,0,26.142857,.444444,2.25,15,15
0,0,1,13.142858,.66666698,2.25,10,10
1,10,0,26.142857,.5,2.5,10,10
0,0,0,51.285713,.40000001,2.5,15,15
0,0,0,77.14286,.60000002,2.5,10,10
1,10,0,26.142857,.555556,2.25,10,10
0,0,0,51.285713,.30000001,2.5,10,15
1,10,0,26.142857,.5,2.5,10,10
0,0,1,13.142858,.60000002,2.5,10,10
1,10,0,26.142857,.444444,2.25,10,9.25
0,0,0,39.285713,.66666698,2.25,10,10
1,10,0,120.14286,.444444,2.25,10,10
0,0,0,39.285713,.60000002,2.5,10,10
1,10,1,13.142858,.5,2.5,10,10
0,0,0,120.14286,.40000001,2.5,15,15
0,0,0,26.142857,.60000002,2.5,10,10
0,0,1,13.142858,.33333299,2.25,25,16.666666
0,0,0,26.142857,.555556,2.25,10,10
1,10,0,51.285713,.5,2.5,10,10
1,10,0,65.428574,.5,2.5,10,10
1,10,0,26.142857,.5,2.5,10,10
0,0,0,26.142857,.60000002,2.5,10,10
1,10,1,13.142858,.5,2.5,10,10
1,5,1,26.142857,1,2.25,5,5
0,0,1,13.142858,.444444,2.25,15,11.25
0,0,0,51.285713,.5,2.5,10,10
0,0,0,65.428574,.5,2.5,10,10
0,0,0,143,.2,2.5,25,25
0,0,1,13.142858,.444444,2.25,10,10.5
1,10,0,51.285713,.5,2.5,10,8.3999996
0,0,0,51.285713,.444444,2.25,10,12.5
0,0,0,51.285713,.5,2.5,10,10
1,10,0,26.142857,.444444,2.25,10,10
0,0,0,143,.222222,2.25,25,25
0,0,0,51.285713,.33333299,2.25,25,20
0,0,0,143,.2,2.5,25,25
0,0,0,51.285713,.444444,2.75,10,13.75
0,0,0,143,.2,2.5,25,25
0,0,1,13.142858,.555556,2.25,10,10
0,0,0,65.428574,.2,2.5,25,25
1,10,0,51.285713,.444444,2.25,10,10
0,0,0,103.85714,.2,2.5,25,25
1,15,1,13.142858,.444444,2.25,10,10
0,0,0,39.285713,.60000002,2.5,10,9.166667
0,0,0,26.142857,.444444,2.25,10,13.75
