prate,mrate,totpart,totelg,age,totemp,sole,ltotemp
77.400002,.41,209,270,7,381,1,5.9427996
100,.23,145,145,6,405,0,6.0038872
77,.41,612,795,12,1125,0,7.0255384
100,2.03,133,133,35,206,1,5.3278761
98.900002,.51999998,275,278,42,297,0,5.6937323
75.300003,.38999999,192,255,6,1024,0,6.9314718
77.199997,.16,464,601,6,636,0,6.4551988
100,.99000001,542,542,9,622,0,6.43294
88.5,.1,3107,3510,5,6428,0,8.7684183
100,.02,732,732,7,2284,0,7.7336836
100,.88,173,173,7,322,1,5.7745514
42.5,.28999999,316,744,37,775,0,6.652863
100,.13,122,122,11,157,1,5.0562458
100,1.59,390,390,32,446,0,6.1003189
74.699997,.57999998,2307,3089,36,4067,1,8.3106613
37.5,.28999999,1136,3033,6,3351,0,8.1170139
78,.14,2332,2990,9,9080,1,9.1138296
84,.64999998,905,1078,31,1253,1,7.133296
100,2.3900001,179,179,6,179,1,5.187386
100,1.14,307,307,20,411,1,6.0185933
84.900002,.41,686,808,7,1404,1,7.2470808
79.5,.22,1634,2055,5,2304,0,7.7424021
100,.44999999,118,118,5,149,1,5.0039463
100,1.1,337,337,14,720,1,6.5792513
95.800003,.63,113,118,6,130,0,4.8675346
99.300003,.49000001,599,603,28,665,0,6.4997869
81.199997,.15000001,108,133,7,231,1,5.4424176
93.599998,.11,162,173,27,211,1,5.3518581
88.099998,.23999999,222,252,8,425,1,6.0520892
100,.64999998,150,150,16,198,1,5.2882671
100,1.35,285,285,10,287,0,5.659482
100,.2,2311,2311,5,3062,0,8.026824
81,.18000001,102,126,27,151,1,5.0172796
100,1.17,101,101,8,247,0,5.5093884
73.800003,1.12,357,484,20,24656,1,10.112776
65.699997,.15000001,334,508,6,808,0,6.694562
94.900002,1.66,1330,1402,27,2437,0,7.7985229
38.099998,.2,69,181,6,529,1,6.2709885
91.900002,.2,148,161,11,575,0,6.3543701
35.599998,.19,678,1904,9,5102,0,8.5373878
71.900002,.22,1252,1741,5,2896,0,7.9710855
77.400002,2.24,212,274,6,379,0,5.9375362
100,.62,163,163,11,253,1,5.5333896
93.199997,.44,1915,2054,8,3400,1,8.1315308
84.599998,.44,312,369,7,591,0,6.3818159
90.300003,.47,940,1041,8,1102,0,7.0048819
73,.12,92,126,8,138,1,4.9272537
86.300003,.44,320,371,7,482,0,6.1779442
95.599998,.44,259,271,7,3661,1,8.205492
80.5,4.6599998,24772,30767,16,31973,0,10.372647
65.599998,.25999999,80,122,7,306,1,5.7235851
37.700001,.34999999,251,665,8,1395,0,7.2406497
78.400002,.23,254,324,6,391,0,5.9687076
61.700001,.23,463,750,10,926,1,6.8308744
58.700001,.25,2371,4039,14,4838,0,8.4842567
81.099998,.41,189,233,8,424,1,6.0497336
100,.69,427,427,10,3209,1,8.0737143
58.400002,.34,108,185,5,273,1,5.6094718
34.200001,.20999999,230,672,5,798,1,6.6821084
100,1.1,381,381,7,478,1,6.1696105
100,.50999999,203,203,9,597,1,6.3919172
96,.5,25828,26906,23,93165,0,11.442127
100,.23,753,753,7,945,1,6.8511848
100,.89999998,934,934,7,989,0,6.8966942
100,.83999997,595,595,5,3076,0,8.0313854
100,1.0700001,801,801,7,8546,0,9.0532188
76.400002,.44,1794,2347,8,4230,1,8.3499575
100,.34999999,202,202,6,267,1,5.5872488
92.699997,.31999999,127,137,7,162,0,5.0875964
56.700001,.28999999,161,284,8,1588,0,7.3702307
100,1.99,208,208,6,208,1,5.3375382
78.699997,.13,207,263,7,359,1,5.8833222
74.099998,.43000001,235,317,6,949,1,6.8554087
45.5,.07,276,606,7,710,1,6.5652652
87.400002,.33000001,188,215,8,1162,1,7.057898
100,.94,156,156,7,1249,1,7.1300983
86.400002,.37,10149,11753,5,15602,0,9.6551542
64.599998,.37,148,229,13,4228,1,8.3494844
93,1,251,270,10,996,1,6.9037471
89.5,.52999997,213,238,15,377,1,5.9322453
100,1.6,580,580,33,889,1,6.7900972
100,2.4000001,154,154,40,199,1,5.2933049
100,.75999999,416,416,24,435,1,6.075346
68.599998,.44999999,177,258,18,301,0,5.7071104
63.299999,.28,927,1465,8,2468,0,7.8111634
100,.69999999,1147,1147,25,2174,1,7.6843243
89.599998,.38,7843,8756,19,19871,0,9.8970165
88.800003,.40000001,4402,4956,10,19871,0,9.8970165
58.599998,.18000001,184,314,7,644,0,6.4676986
100,1.0700001,356,356,6,593,1,6.3851943
100,.2,3701,3701,33,6769,0,8.8201084
100,.62,241,241,7,373,1,5.9215784
56.200001,.18000001,406,723,6,1035,0,6.9421568
100,.85000002,122,122,35,196,1,5.2781148
61.799999,.44999999,792,1281,6,1843,0,7.5191498
75.699997,.30000001,184,243,7,271,0,5.602119
100,.38999999,104,104,27,207,1,5.3327188
100,.47,2014,2014,8,3511,0,8.1636562
100,.11,114,114,7,134,1,4.89784
100,.82999998,206,206,31,290,1,5.6698809
61.200001,.74000001,8322,13591,7,17986,0,9.797349
100,1.15,411,411,26,690,1,6.5366917
100,.60000002,556,556,16,891,0,6.7923446
100,.18000001,125,125,5,204,0,5.31812
68,.25,385,566,5,879,0,6.7787848
79.800003,.36000001,285,357,6,639,0,6.4599047
59.400002,.30000001,368,620,5,903,0,6.8057227
100,1.41,149,149,8,250,1,5.521461
61.599998,.2,178,289,8,599,0,6.3952618
81,.77999997,328,405,20,609,0,6.4118185
33.5,.46000001,85,254,9,425,1,6.0520892
65.099998,.11,10327,15857,8,41926,0,10.643661
100,1.08,277,277,26,465,1,6.1420374
83.699997,.31,1626,1943,24,2364,0,7.7681103
89.800003,.17,115,128,7,225,0,5.4161005
100,.38,174,174,7,545,1,6.300786
75.800003,.25999999,424,559,7,780,0,6.6592941
66.599998,.15000001,702,1054,9,1145,0,7.04316
85.099998,.1,549,645,29,1053,1,6.9593987
100,.52999997,231,231,5,278,0,5.6276212
100,.81999999,148,148,5,189,1,5.2417469
90.5,.44,344,380,19,479,1,6.1717005
100,.99000001,76,76,7,4198,1,8.3423634
67.599998,.76999998,583,863,8,978,0,6.8855095
100,4.0599999,343,343,7,3290,1,8.0986433
75,.2,645,860,11,1015,0,6.9226437
100,.74000001,250,250,25,441,1,6.089045
89.900002,.38999999,116,129,7,177,0,5.1761498
100,.43000001,596,596,11,781,1,6.6605749
100,.13,412,412,8,412,0,6.0210233
100,.20999999,235,235,20,768,0,6.6437898
66.900002,.68000001,113,169,5,176,1,5.1704841
89.300003,.52999997,536,600,18,790,1,6.6720328
100,1.9,126,126,15,750,1,6.6200733
81.5,.83999997,4432,5440,8,10683,0,9.2764091
80.900002,.41999999,5138,6353,13,7428,0,8.9130116
87.599998,.63,99,113,20,154,1,5.0369525
77,.55000001,151,196,12,221,0,5.3981628
99.5,.95999998,219,220,7,256,1,5.5451775
97.699997,.51999998,213,218,6,250,1,5.521461
100,4.3099999,292,292,23,429,0,6.0614572
100,1.27,165,165,5,214,1,5.3659759
58.799999,.31999999,1096,1864,9,8470,0,9.0442858
100,.56,293,293,6,412,1,6.0210233
100,.28999999,65,65,20,118,1,4.7706847
93.099998,.56999999,511,549,9,584,1,6.3699012
100,1.27,165,165,13,207,1,5.3327188
100,.34999999,175,175,19,207,1,5.3327188
100,.38,146,146,5,192,1,5.2574954
100,.66000003,121,121,19,207,0,5.3327188
56.400002,.2,472,837,12,1522,1,7.3277807
87.300003,.28,1832,2098,10,3450,1,8.1461296
100,.67000002,249,249,16,764,1,6.6385679
22.1,.11,166,752,7,3537,1,8.1710339
48.599998,.19,402,828,5,1200,0,7.0900769
100,.5,166,166,7,247,1,5.5093884
65.099998,.63,3205,4926,10,31859,0,10.369075
100,.47,534,534,7,860,1,6.7569323
83.400002,.44,2495,2991,32,5277,0,8.5711126
100,.77999997,152,152,11,389,1,5.9635792
100,.47,198,198,8,308,1,5.7300997
55.700001,.2,141,253,6,307,0,5.7268476
100,.43000001,215,215,8,600,1,6.3969297
100,1.8,139,139,12,204,1,5.31812
100,1.24,360,360,8,783,1,6.6631327
100,3.1600001,247,247,11,268,1,5.5909872
55.099998,.20999999,102,185,7,237,1,5.46806
100,1.25,99,99,9,151,0,5.0172796
71.400002,.62,267,374,5,416,1,6.0306854
78.300003,.5,382,488,7,654,1,6.4831076
100,.50999999,574,574,13,831,1,6.72263
100,.76999998,306,306,11,545,1,6.300786
100,.40000001,3030,3030,6,4075,0,8.3126259
99.099998,.28,111,112,11,144,1,4.9698133
100,1.02,560,560,8,2409,0,7.7869668
78.5,.34,197,251,9,264,1,5.5759492
64.900002,.47,181,279,5,309,1,5.7333412
77.5,.60000002,110,142,7,190,1,5.2470241
58.599998,.37,140,239,7,695,0,6.5439119
100,.19,142,142,5,171,1,5.1416636
80,.2,557,696,6,889,0,6.7900972
100,.47,409,409,6,796,1,6.6795993
100,.69,161,161,5,323,1,5.7776523
100,1.23,265,265,6,265,1,5.57973
42.099998,.19,1217,2892,6,5036,0,8.5243673
100,2.8900001,247,247,8,333,1,5.8081427
73.400002,.40000001,91,124,5,173,1,5.1532917
77.5,.1,179,231,5,409,1,6.0137153
100,.55000001,852,852,5,852,1,6.7475867
59.099998,.41999999,272,460,8,1521,1,7.3271232
75.300003,.47,440,584,6,753,1,6.6240654
92.199997,.62,379,411,17,468,1,6.1484685
82.599998,.63999999,176,213,30,254,0,5.5373344
89.800003,.23,132,147,24,540,0,6.2915692
95.300003,.41,123,129,5,491,0,6.196444
47.299999,.41999999,156,330,7,384,0,5.9506426
78.599998,.2,971,1236,5,4195,0,8.3416491
75.5,.23999999,880,1165,20,1306,0,7.1747241
100,.81999999,470,470,16,569,0,6.3438807
90.699997,.40000001,165,182,10,268,0,5.5909872
97.199997,.23999999,106,109,10,124,0,4.8202815
60.599998,.19,197,325,6,975,1,6.8824377
87.099998,.23,546,627,6,694,0,6.5424719
100,.95999998,93,93,15,104,1,4.6443911
79,.16,454,575,8,880,0,6.779922
100,1.7,257,257,7,307,1,5.7268476
100,.69999999,213,213,7,720,1,6.5792513
100,.67000002,104,104,7,116,1,4.7535901
48.599998,.47,134,276,6,287,1,5.659482
100,1.34,115,115,23,194,1,5.267858
100,1.02,123,123,15,244,1,5.4971681
92.699997,.22,102,110,9,174,1,5.1590552
100,2.5999999,132,132,20,205,1,5.32301
100,.17,163,163,23,394,0,5.9763508
100,1.3200001,119,119,8,244,1,5.4971681
68.699997,.07,572,833,22,833,0,6.7250338
100,1.33,156,156,23,227,0,5.4249501
100,1.4400001,97,97,16,306,1,5.7235851
100,1.23,2097,2097,10,2868,0,7.96137
100,2.3399999,138,138,5,237,1,5.46806
100,2.6199999,51200,51200,17,51200,1,10.843494
100,.38999999,136,136,14,334,1,5.811141
100,1.4299999,210,210,8,256,1,5.5451775
100,.050000001,234,234,17,1107,1,7.009409
100,4.6399999,114,114,6,185,1,5.220356
100,.25999999,161,161,6,737,0,6.6025877
100,2.51,244,244,5,244,1,5.4971681
100,.63999999,355,355,5,440,0,6.0867748
100,.88,403,403,5,437,0,6.0799332
100,1.3,203,203,8,253,1,5.5333896
100,.58999997,159,159,5,183,1,5.209486
94.5,.28999999,596,631,7,631,0,6.4473057
100,.51999998,257,257,7,259,1,5.556828
100,.17,2972,2972,6,4197,0,8.3421249
100,.47,389,389,5,531,1,6.2747622
78,.56,568,728,12,3924,0,8.2748671
88.5,.43000001,1899,2146,6,2153,0,7.6746173
100,.15000001,261,261,7,739,0,6.605298
99.900002,.36000001,847,848,8,976,1,6.8834624
100,.37,637,637,22,751,0,6.6214056
100,.2,100,100,5,147,1,4.9904327
75.699997,.22,2572,3399,9,14204,0,9.5612793
100,1.66,224,224,21,332,0,5.8051348
66.599998,.37,251,377,7,1524,0,7.3290939
75.900002,.41999999,472,622,7,812,0,6.6995006
93.800003,.2,105,112,6,142,0,4.9558272
86.599998,.11,596,688,10,919,0,6.8232861
100,1.0700001,103,103,9,106,1,4.6634393
100,.37,437,437,7,446,0,6.1003189
100,.73000002,616,616,7,639,1,6.4599047
64.900002,.41999999,96,148,20,225,1,5.4161005
100,2.53,134,134,9,191,1,5.2522736
100,.30000001,2851,2851,7,4044,0,8.3049898
100,.38999999,381,381,7,561,0,6.329721
75.300003,.43000001,290,385,24,1108,0,7.0103121
96.800003,.18000001,274,283,8,315,0,5.7525725
100,.28999999,433,433,9,471,0,6.1548581
49.599998,1.45,137,276,11,328,0,5.7930136
42.400002,.63999999,772,1821,8,2048,0,7.624619
100,.25,182,182,21,635,1,6.4536252
100,.63,214,214,20,268,0,5.5909872
100,.31999999,249,249,7,308,1,5.7300997
83.699997,.15000001,431,515,15,600,0,6.3969297
83.5,.67000002,71,85,6,101,1,4.6151204
85.099998,.23,131,154,4,285,1,5.6524892
80.599998,.41999999,1409,1748,14,3138,0,8.0513411
100,.029999999,255,255,25,266,0,5.5834961
100,.87,126,126,7,233,1,5.4510384
77.400002,.22,702,907,6,1334,0,7.1959372
82.5,3.99,2492,3022,9,3904,0,8.2697573
100,1.11,4252,4252,33,4483,0,8.4080477
100,.090000004,483,483,9,546,1,6.302619
48.799999,.23,690,1413,5,4100,1,8.3187418
100,.079999998,105,105,5,156,1,5.0498562
73.5,.31,186,253,13,260,0,5.5606818
100,.68000001,1051,1051,5,1094,0,6.9975958
82,.41,937,1142,28,6179,0,8.7289114
100,.80000001,547,547,20,869,1,6.767343
77.199997,.74000001,982,1272,10,1719,0,7.4494982
100,1.42,104,104,8,141,1,4.94876
90.699997,.36000001,411,453,5,1380,1,7.2298388
100,.88999999,1275,1275,8,2473,1,7.8131871
83.599998,.20999999,138,165,7,1990,1,7.59589
100,1.09,252,252,7,254,0,5.5373344
46.900002,.25,345,736,7,1131,1,7.0308576
91.199997,.67000002,198,217,9,313,0,5.7462034
76.5,.47,297,388,5,703,0,6.555357
72.300003,.46000001,427,591,8,663,1,6.4967752
96.5,.72000003,245,254,9,348,1,5.8522024
82.199997,.27000001,245,298,7,469,1,6.1506028
100,.44,87,87,16,117,0,4.7621741
100,1.58,123,123,10,123,1,4.8121843
100,.33000001,109,109,7,161,1,5.0814042
100,.92000002,108,108,7,278,1,5.6276212
100,.70999998,174,174,7,241,1,5.484797
100,.55000001,460,460,5,705,1,6.558198
100,2.1800001,826,826,7,2262,1,7.7240047
100,.37,246,246,6,309,0,5.7333412
89.400002,1.4,152,170,6,181,1,5.1984968
100,1.48,129,129,7,795,1,6.6783423
96,2,753,784,16,1003,0,6.9107509
100,.81999999,380,380,6,1929,0,7.5647569
100,3.8099999,1989,1989,6,3924,0,8.2748671
100,.41999999,155,155,8,210,1,5.3471074
100,.52999997,93,93,9,262,1,5.5683446
100,1.0700001,892,892,16,1334,1,7.1959372
100,.97000003,884,884,39,1191,0,7.0825486
97.400002,.5,518,532,35,1922,0,7.5611215
100,.49000001,1320,1320,7,1888,0,7.5432734
93.699997,.36000001,699,746,7,1011,0,6.9186954
74,.23999999,1232,1664,6,3733,1,8.224967
91.599998,.75,536,585,5,894,0,6.7957058
100,.25,262,262,6,305,0,5.7203116
98.599998,.37,207,210,21,312,1,5.7430034
77.900002,.37,1170,1501,6,1782,0,7.4854918
92.300003,.73000002,322,349,37,492,1,6.1984787
100,.41,634,634,7,2839,0,7.9512072
100,2,188,188,29,283,1,5.6454468
100,.38999999,178,178,36,178,1,5.1817837
91.699997,.11,210,229,29,783,1,6.6631327
99.800003,1.54,475,476,16,681,1,6.5235624
98.699997,1.23,155,157,16,231,1,5.4424176
100,1.46,971,971,8,12210,1,9.4100103
59.799999,.25999999,974,1629,9,1826,1,7.5098829
100,.88999999,908,908,14,995,0,6.9027429
21,.17,2577,12291,24,20928,0,9.948843
100,.22,251,251,22,363,1,5.894403
100,.12,131,131,9,922,1,6.8265452
78,.17,213,273,5,287,1,5.659482
72,.22,683,949,7,2977,0,7.9986715
100,.23999999,114,114,6,247,1,5.5093884
90.800003,1.27,128,141,6,141,1,4.94876
100,1.03,102,102,9,119,1,4.7791233
100,3.45,212,212,6,232,1,5.4467373
100,1.99,190,190,8,211,1,5.3518581
73.699997,.34999999,168,228,7,349,1,5.855072
100,1.6799999,555,555,18,2691,1,7.8976684
100,.14,1655,1655,6,2555,0,7.8458076
100,.33000001,148,148,5,233,1,5.4510384
100,.1,105,105,7,105,1,4.6539602
76.300003,.30000001,161,211,8,856,0,6.7522702
54.099998,.22,482,891,6,3277,0,8.0946836
76.5,.25,127,166,5,225,0,5.4161005
95.199997,.51999998,99,104,6,317,1,5.7589016
92,.059999999,613,666,15,1368,0,7.2211051
100,.50999999,284,284,6,340,0,5.8289456
100,.87,183,183,9,221,1,5.3981628
74.400002,.18000001,232,312,7,925,0,6.8297939
48.900002,.0099999998,116,237,7,2114,1,7.6563373
100,1.7,231,231,8,231,1,5.4424176
100,1.87,333,333,6,1687,1,7.430707
100,.52999997,201,201,7,607,1,6.4085288
32.5,.23,50,154,6,173,1,5.1532917
59.200001,.2,177,299,34,404,0,6.0014148
100,.50999999,340,340,27,399,0,5.9889612
100,2.45,143,143,23,207,0,5.3327188
74.5,1.65,602,808,8,1116,0,7.0175061
100,.33000001,2325,2325,21,5158,1,8.5483046
87.800003,.46000001,201,229,8,511,0,6.2363696
73.699997,.66000003,435,590,10,831,0,6.72263
87.099998,.56,1169,1342,10,1706,0,7.4419069
75.199997,.30000001,465,618,19,673,0,6.5117455
99,.62,104,105,10,117,1,4.7621741
100,.38999999,213,213,14,848,0,6.7428808
89.800003,.43000001,202,225,6,570,1,6.3456364
81,.36000001,383,473,22,623,1,6.4345465
63.700001,.40000001,135,212,5,274,1,5.6131282
100,1.15,1691,1691,7,2465,0,7.809947
100,.28,651,651,21,741,1,6.6080008
100,1.1,238,238,17,266,1,5.5834961
100,.1,384,384,7,798,0,6.6821084
100,.20999999,232,232,7,396,0,5.9814143
100,1.41,317,317,15,1331,1,7.193686
100,.98000002,327,327,7,640,1,6.4614682
100,.43000001,250,250,5,533,1,6.2785215
95.900002,.72000003,844,880,8,1040,1,6.9469762
100,.52999997,172,172,8,233,0,5.4510384
80.699997,.69,384,476,6,626,1,6.4393506
96.300003,.22,363,377,5,658,1,6.4892049
95.699997,1.76,179,187,6,1241,0,7.123673
100,1.26,108,108,9,185,1,5.220356
83.900002,.34,302,360,8,731,0,6.5944133
100,.28,558,558,6,1939,1,7.5699277
61.200001,.38999999,161,263,7,364,0,5.8971539
100,.20999999,252,252,5,278,0,5.6276212
98.099998,1.35,259,264,9,316,0,5.7557421
75.300003,.62,731,971,11,1142,0,7.0405364
100,4.3600001,109,109,29,139,1,4.934474
99.099998,.47999999,108,109,10,117,1,4.7621741
38.700001,.51999998,118,305,7,341,1,5.8318825
84.5,.81,163,193,14,323,1,5.7776523
74,.22,344,465,7,913,0,6.8167357
100,.039999999,125,125,8,185,1,5.220356
100,.029999999,220,220,6,412,0,6.0210233
96.099998,.67000002,442,460,24,1175,1,7.0690236
100,2.1099999,1960,1960,12,5155,1,8.5477228
92.300003,.44,192,208,7,223,0,5.4071717
100,1,11008,11008,27,31886,0,10.369923
94.400002,.69,168,178,10,364,1,5.8971539
39.400002,.27000001,263,667,5,944,0,6.8501263
96.199997,.31999999,254,264,7,1697,0,7.4366174
100,.19,552,552,16,999,0,6.906755
73.900002,.60000002,266,360,16,516,1,6.2461066
89,.46000001,938,1054,36,1064,0,6.9697905
100,.47,1174,1174,6,1380,0,7.2298388
99.900002,.82999998,3655,3659,15,3725,0,8.2228222
59.099998,1.12,198,335,36,411,0,6.0185933
68.5,.44999999,304,444,6,505,0,6.2245584
89.900002,.47,402,447,6,561,0,6.329721
88,.18000001,191,217,7,302,1,5.7104268
92.900002,.76999998,105,113,11,180,1,5.1929569
100,.79000002,3333,3333,7,5062,0,8.5295172
100,.12,269,269,8,340,1,5.8289456
85.099998,.41999999,114,134,7,144,0,4.9698133
100,1.87,938,938,7,1652,0,7.4097419
100,.41,198,198,5,244,0,5.4971681
100,.73000002,3941,3941,24,5349,1,8.5846653
59,.87,1136,1926,35,3566,0,8.1792002
97.800003,.57999998,616,630,15,630,0,6.4457197
78.800003,.81999999,215,273,5,358,0,5.8805332
65.5,.41,116,177,7,191,0,5.2522736
92.900002,.82999998,117,126,13,208,1,5.3375382
85.599998,.16,255,298,7,63681,1,11.061642
66.599998,.49000001,613,920,6,4628,1,8.4398804
83.699997,.30000001,642,767,26,2617,0,7.8697839
87.400002,.44999999,118,135,7,212,0,5.3565865
100,.059999999,667,667,7,737,0,6.6025877
100,.97000003,110,110,19,111,1,4.7095304
85.5,.67000002,2294,2683,10,2683,0,7.894691
39.599998,.25999999,593,1498,6,1580,0,7.36518
66.599998,.69,383,575,16,626,1,6.4393506
64.599998,.15000001,73,113,5,201,1,5.3033047
98.900002,.47999999,1397,1413,11,1877,1,7.5374298
100,1.54,597,597,20,642,0,6.4645882
100,.40000001,198,198,19,279,0,5.6312118
92.5,.23,2091,2261,6,2442,0,7.8005729
95.599998,.56999999,2177,2278,7,2309,0,7.7445698
100,.81,99,99,5,100,1,4.6051702
97.699997,.63,171,175,8,232,1,5.4467373
88.099998,2,297,337,7,395,0,5.9788857
100,.16,100,100,19,121,1,4.7957907
100,1.21,300,300,7,5928,1,8.6874418
74.599998,.38999999,209,280,22,294,0,5.6835799
76.5,.80000001,1823,2383,6,3374,0,8.1238546
99,1.48,197,199,5,219,1,5.3890719
100,.57999998,4066,4066,7,5800,0,8.6656132
72.800003,.51999998,209,287,13,291,1,5.6733232
93,.49000001,239,257,19,257,1,5.5490761
100,.93000001,96,96,8,121,1,4.7957907
100,.43000001,686,686,7,821,0,6.7105231
100,.55000001,12060,12060,48,43436,0,10.679044
85.699997,.14,240,280,16,511,1,6.2363696
100,.5,6524,6524,16,7373,0,8.9055796
100,.91000003,239,239,6,428,1,6.059123
73.199997,.89999998,235,321,9,321,0,5.771441
97.800003,.47999999,3649,3731,10,3742,0,8.227375
87.699997,.73000002,1808,2061,36,2136,0,7.6666903
43.099998,.41999999,889,2061,8,2136,0,7.6666903
100,.41,381,381,16,403,0,5.9989367
81.099998,2.21,13635,16812,39,21524,0,9.9769239
85.5,.44,189,221,8,714,1,6.5708828
72.900002,.22,164,225,14,225,0,5.4161005
91,.12,352,387,7,599,0,6.3952618
100,.16,106,106,18,156,1,5.0498562
94,1,249,265,31,359,1,5.8833222
100,1.77,366,366,8,427,1,6.0567842
77.300003,.75,2171,2807,25,3929,0,8.2761402
78.5,.61000001,175,223,7,3929,0,8.2761402
56.299999,.31,426,756,16,834,1,6.7262335
89.699997,.68000001,87,97,24,115,0,4.7449322
92.199997,.31,341,370,31,419,1,6.0378709
100,.38999999,535,535,12,1649,0,7.4079242
100,.46000001,642,642,8,1521,0,7.3271232
70.699997,.56999999,289,409,8,737,0,6.6025877
100,.039999999,178,178,33,199,1,5.2933049
65,.55000001,748,1150,18,1198,0,7.0884089
75.699997,.33000001,1212,1601,5,1765,0,7.4759059
100,.029999999,6925,6925,8,8291,0,9.0229263
71.699997,.95999998,104,145,7,291,1,5.6733232
91.599998,2.0899999,120,131,5,195,1,5.2729998
100,.34,236,236,11,258,0,5.5529594
57.799999,.039999999,63,109,8,355,1,5.872118
84.199997,.22,218,259,19,2843,1,7.9526153
94.199997,1.03,114,121,7,141,1,4.94876
95,.66000003,1088,1145,25,1352,0,7.2093401
100,2.79,134,134,23,147,1,4.9904327
19.299999,.54000002,51,264,25,290,0,5.6698809
86.099998,.60000002,118,137,20,160,0,5.0751739
82,.17,273,333,7,456,0,6.1224928
68.800003,.56999999,106,154,6,252,0,5.529429
83.199997,.17,129,155,7,199,1,5.2933049
85.199997,.88,167,196,13,271,1,5.602119
100,.82999998,1152,1152,7,5064,0,8.529912
100,.44,143,143,12,184,0,5.2149358
77.199997,.56999999,700,907,7,1324,1,7.1884127
77.300003,.92000002,279,361,8,441,0,6.089045
100,1.37,125,125,13,259,1,5.556828
95,.75,680,716,7,716,0,6.5736804
99.599998,.40000001,222,223,9,553,1,6.3153582
74.699997,.77999997,148,198,7,249,1,5.5174527
75.900002,.97000003,82,108,12,146,0,4.9836068
81.300003,.38,61,75,5,219,1,5.3890719
91.400002,1.12,1564,1711,5,3480,0,8.154788
100,.039999999,281,281,9,369,0,5.9107966
70.599998,.17,89,126,6,202,1,5.3082676
100,.38999999,376,376,7,1100,1,7.0030656
80.900002,.15000001,933,1153,8,1337,0,7.1981835
88.800003,.64999998,1154,1300,8,1792,0,7.4910874
100,.79000002,285,285,7,372,1,5.9188938
100,.059999999,208,208,7,250,1,5.521461
100,1.6900001,2074,2074,13,2358,0,7.7655692
47.700001,.31999999,145,304,5,305,0,5.7203116
100,1.65,768,768,10,1177,0,7.070724
60.099998,.090000004,196,326,7,369,0,5.9107966
67.300003,.69,230,342,24,410,1,6.0161572
100,.029999999,15107,15107,33,43436,1,10.679044
100,.36000001,1544,1544,18,5356,0,8.5859728
82.5,.23,680,824,8,5356,0,8.5859728
100,3.3900001,171,171,14,187,1,5.2311087
87.199997,.44,3994,4578,35,4886,0,8.4941292
80.099998,.41999999,1069,1335,33,1997,0,7.5994015
95,.37,113,119,31,145,0,4.9767337
100,.67000002,518,518,6,628,0,6.4425402
100,.83999997,216,216,13,217,0,5.3798971
91.599998,.47999999,163,178,7,197,1,5.2832036
85.800003,.19,512,597,48,872,0,6.7707896
97.800003,.63999999,394,403,14,435,0,6.075346
93.400002,.28,1556,1666,17,5105,0,8.5379753
75.300003,.44,694,922,6,1218,0,7.1049652
79.699997,3.05,656,823,37,2102,0,7.6506448
100,2.79,277,277,37,331,0,5.8021183
100,.30000001,875,875,6,2986,0,8.0016899
82.099998,.36000001,193,235,14,258,1,5.5529594
86.699997,.69,8252,9517,24,9556,0,9.1649246
84.300003,1.12,118,140,30,200,1,5.2983174
73.5,.58999997,202,275,5,302,1,5.7104268
82.800003,.1,425,513,28,693,0,6.5410299
100,2.4400001,304,304,24,514,0,6.2422233
